,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,top100,top10
158,Pray to God ,Calvin Harris,0.691,0.921,8,-1.702,0,0.0535,0.174,0.0,0.331,0.802,130,201000,4,0,0
159,Anaconda,Nicki Minaj,0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130,195987,4,0,0
160,Starships,Nicki Minaj,0.503,0.748,5,-4.124,1,0.0619,0.0305,0.0,0.343,0.356,126,210013,4,0,0
161,Pound The Alarm,Nicki Minaj,0.627,0.878,6,-4.772,0,0.172,0.076,1.29e-05,0.323,0.377,126,214040,4,0,0
162,Play Hard ,David Guetta,0.585,0.84,0,-3.349,0,0.0957,0.155,0.0,0.638,0.149,150,229627,4,0,0
163,Sweat ,Snoop Dogg,0.738,0.868,1,-3.363,1,0.0703,0.000907,0.000215,0.275,0.378,112,245140,4,0,0
164,Heroes ,Alesso,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,99,236133,4,0,0
165,Welcome to the Jungle ,Neon Jungle,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103,193920,4,0,0
166,COME BACK HOME,2NE1,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,164,209423,4,0,0
167,Danger,BTS,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130,251440,4,0,0
168,Love Me Harder,Ariana Grande,0.703,0.684,8,-6.532,1,0.0778,0.00164,0.000378,0.0744,0.217,126,346930,4,0,0
169,Problem,Ariana Grande,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116,248413,4,0,0
170,Black Widow,Iggy Azalea,0.67,0.476,9,-6.253,0,0.0406,0.328,0.0,0.104,0.235,97,231907,4,0,0
171,Boom Boom Pow,Black Eyed Peas,0.594,0.841,1,-5.792,1,0.102,0.000238,2.22e-06,0.156,0.643,130,227973,4,0,0
172,Wild One Two ,Jack Back,0.888,0.833,3,-4.381,0,0.0912,0.256,0.00159,0.485,0.962,121,388226,4,0,0
173,Get Lucky ,Daft Punk,0.675,0.868,1,-6.36,1,0.0392,0.00107,0.715,0.374,0.0376,128,304229,4,0,0
174,Na Na,Trey Songz,0.597,0.685,11,-6.371,1,0.0367,0.0245,0.000335,0.182,0.369,122,209208,4,0,0
175,Turn Up the Music,Chris Brown,0.615,0.814,9,-3.903,0,0.0677,0.17,0.0,0.218,0.577,144,214150,4,0,0
176,Last Night ,Diddy,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134,249040,4,0,0
177,I'm an Albatraoz,AronChupa,0.703,0.892,5,-5.706,0,0.0412,0.00305,0.0924,0.117,0.221,140,294943,4,0,0
