,track,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,top100,top10,1,2,3,4,5,6,7,8,9,10,11
97,Stay High,Juice WRLD,0.5720000000000001,0.385,-6.362,1,0.0308,0.371,0.0,0.231,0.32299999999999995,96,215733,1,0,0,0,0,0,0,0,1,0,0,0,0
98,She Came II Give It II U ,Usher,0.821,0.565,-5.403,0,0.0837,0.0419,0.0,0.0796,0.732,120,242560,0,0,0,0,0,1,0,0,0,0,0,0,0
99,Loyal ,Chris Brown,0.841,0.522,-5.962999999999999,0,0.049,0.0168,1.37e-06,0.188,0.616,99,264947,0,0,0,0,0,0,0,0,0,0,0,1,0
100,Fireball ,Pitbull,0.69,0.937,-5.393,1,0.0642,0.0894,0.00010400000000000001,0.0532,0.794,123,235012,0,0,0,0,0,0,0,0,0,0,0,1,0
101,Chandelier,Sia,0.39899999999999997,0.787,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.5720000000000001,117,216120,0,0,1,0,0,0,0,0,0,0,0,0,0
102,Black Widow,Iggy Azalea,0.743,0.72,-3.753,1,0.124,0.192,0.000386,0.109,0.519,164,209423,0,0,0,0,0,0,0,0,0,0,0,0,1
103,Shower,Becky G,0.6990000000000001,0.529,-7.547999999999999,1,0.0487,0.0317,3.59e-05,0.285,0.121,120,206167,0,0,0,1,0,0,0,0,0,0,0,0,0
104,Habits ,Tove Lo,0.7290000000000001,0.65,-3.5389999999999997,1,0.0313,0.0702,6.69e-05,0.0829,0.34700000000000003,110,209160,0,0,0,0,0,0,1,0,0,0,0,0,0
105,New Flame,Chris Brown,0.7020000000000001,0.629,-4.292,1,0.040999999999999995,0.0506,0.0,0.0963,0.446,142,244227,0,0,1,0,0,0,0,0,0,0,0,0,0
106,Waves ,Mr. Probz,0.8290000000000001,0.51,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,120,208133,0,0,0,0,0,0,1,0,0,0,0,0,0
107,Don't Tell 'Em,Jeremih,0.64,0.782,-4.177,0,0.18899999999999997,0.379,0.0,0.109,0.825,98,249626,0,0,0,0,0,0,1,0,0,0,0,0,0
108,Good Kisser,Usher,0.391,0.604,-8.104,1,0.212,0.00812,5.18e-06,0.0443,0.168,170,268000,0,0,0,1,0,0,0,0,0,0,0,0,0
109,Pills N Potions,Nicki Minaj,0.8440000000000001,0.491,-8.807,0,0.17,0.272,0.0,0.111,0.196,92,337640,0,0,0,0,0,0,0,0,0,0,0,1,0
110,Believe Me,Lil Wayne,0.77,0.664,-5.604,1,0.21100000000000002,0.215,0.000118,0.105,0.47200000000000003,140,321987,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Tuesday ,ILOVEMAKONNEN,0.838,0.72,-4.135,0,0.0483,0.0862,0.0069700000000000005,0.0772,0.204,123,251987,0,0,0,0,0,0,0,0,1,0,0,0,0
112,Hideaway,Kiesza,0.799,0.586,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.5489999999999999,121,227833,0,0,0,0,0,0,0,0,0,0,0,0,1
113,Rather Be ,Clean Bandit,0.596,0.856,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,128,222533,0,0,0,0,0,1,0,0,0,0,0,0,0
114,Summer,Calvin Harris,0.774,0.7559999999999999,-4.995,1,0.0389,0.0423,0.0,0.305,0.9309999999999999,144,224840,0,0,1,0,0,0,0,0,0,0,0,0,0
115,Rude,MAGIC!,0.764,0.5670000000000001,-8.585,1,0.0609,0.0126,9.51e-05,0.257,0.428,90,198907,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Tennis Court,Lorde,0.687,0.7020000000000001,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,130,214840,0,0,0,0,0,0,0,0,1,0,0,0,0
117,Break Free,Ariana Grande,0.551,0.636,-7.125,1,0.0281,0.00713,0.00203,0.217,0.153,125,268467,0,0,0,0,0,0,0,1,0,0,0,0,0
118,A Sky Full of Stars,Coldplay,0.763,0.875,-5.797000000000001,0,0.0262,0.024,5.41e-06,0.599,0.8,123,189413,0,0,0,0,0,0,0,0,0,0,1,0,0
119,Prayer in C ,Lilly Wood and The Prick,0.6970000000000001,0.621,-6.886,0,0.25,0.0802,0.0,0.162,0.721,82,193296,0,0,0,0,0,0,0,0,0,0,1,0,0
120,Wiggle ,Jason Derulo,0.76,0.652,-7.321000000000001,1,0.23199999999999998,0.0348,0.0,0.307,0.759,100,177685,0,0,0,0,0,0,0,1,0,0,0,0,0
121,Talk Dirty ,Jason Derulo,0.738,0.483,-8.915,0,0.0403,0.0262,0.616,0.106,0.355,93,285014,0,0,0,0,0,0,0,1,0,0,0,0,0
122,Magic,Coldplay,0.614,0.972,-3.927,0,0.08800000000000001,0.00125,0.0186,0.32799999999999996,0.41100000000000003,128,170625,0,0,0,0,0,0,1,0,0,0,0,0,0
123,Bad ,David Guetta,0.726,0.698,-4.165,1,0.0431,0.049,0.0,0.309,0.867,144,233478,0,0,0,0,0,0,1,0,0,0,0,0,0
124,Locked out of Heaven,Bruno Mars,0.645,0.8909999999999999,-2.505,0,0.0387,0.0932,3.88e-06,0.379,0.568,125,203520,0,0,0,0,0,0,0,1,0,0,0,0,0
125,Lovers on the Sun ,David Guetta,0.612,0.28,-8.648,1,0.0434,0.932,0.0,0.08800000000000001,0.387,73,213827,0,0,0,0,0,0,0,0,0,0,0,0,0
126,When I Was Your Man,Bruno Mars,0.449,0.585,-6.7620000000000005,1,0.0268,0.0522,8.49e-05,0.0833,0.203,140,278719,0,0,0,0,0,0,1,0,0,0,0,0,0
127,Paradise,Coldplay,0.637,0.843,-5.412999999999999,1,0.0432,0.0151,0.0,0.0876,0.434,109,220733,0,0,0,0,0,0,1,0,0,0,0,0,0
128,Just The Way You Are,Bruno Mars,0.414,0.857,-4.078,0,0.0808,0.0287,0.0057399999999999994,0.34299999999999997,0.348,128,212960,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Blame ,Calvin Harris,0.604,0.7879999999999999,-3.673,0,0.10300000000000001,0.0678,0.153,0.127,0.301,126,245040,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Titanium ,David Guetta,0.6459999999999999,0.823,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128,227267,0,0,0,1,0,0,0,0,0,0,0,0,0
131,Outside ,Calvin Harris,0.695,0.8690000000000001,-5.066,1,0.0483,0.41,0.0,0.237,0.58,125,234507,0,0,0,0,0,0,0,0,0,1,0,0,0
132,I Need Your Love ,Calvin Harris,0.7070000000000001,0.924,-2.842,1,0.031,0.0009720000000000001,0.00703,0.204,0.919,128,206413,0,0,0,0,0,0,0,0,1,0,0,0,0
133,Feel So Close ,Calvin Harris,0.573,0.929,-3.9419999999999997,0,0.109,0.19699999999999998,0.00011200000000000001,0.0567,0.5820000000000001,128,212560,0,0,0,0,0,0,0,0,0,1,0,0,0
134,Sweet Nothing ,Calvin Harris,0.725,0.8740000000000001,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,128,247933,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Thinking About You ,Calvin Harris,0.596,0.9520000000000001,-4.364,1,0.0873,0.00131,0.0,0.598,0.5710000000000001,128,234360,0,0,0,0,0,0,0,0,1,0,0,0,0
136,We'll Be Coming Back ,Calvin Harris,0.544,0.915,-3.405,1,0.0841,0.129,0.0009140000000000001,0.115,0.51,126,184280,0,0,0,0,0,0,0,0,0,1,0,0,0
137,Under Control ,Calvin Harris,0.72,0.925,-4.165,0,0.0511,0.0276,0.00023799999999999998,0.14,0.7809999999999999,127,195105,0,0,0,0,0,1,0,0,0,0,0,0,0
138,Mr. Saxobeat,Alexandra Stan,0.6679999999999999,0.8290000000000001,-2.748,0,0.0334,0.00572,0.0,0.358,0.649,127,192276,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Little Bad Girl ,David Guetta,0.435,0.8370000000000001,-8.126,1,0.449,0.0067599999999999995,0.0,0.11699999999999999,0.778,125,216893,0,0,0,0,1,0,0,0,0,0,0,0,0
140,Like A G6,Far East Movement,0.655,0.8190000000000001,-4.852,1,0.0316,0.000176,0.00374,0.10400000000000001,0.7659999999999999,118,192790,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Safe And Sound,Capital Cities,0.743,0.7659999999999999,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,128,289133,0,0,0,0,0,0,0,0,0,0,0,0,0
142,I Gotta Feeling,Black Eyed Peas,0.659,0.628,-8.685,0,0.179,0.18600000000000003,0.0,0.105,0.262,94,219427,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Just Can’t Get Enough,Black Eyed Peas,0.564,0.71,-4.92,0,0.0461,0.00125,0.0,0.109,0.39299999999999996,92,225147,0,0,0,0,0,0,0,0,0,0,0,0,1
144,Diamonds,Rihanna,0.74,0.7829999999999999,-5.367000000000001,1,0.0427,0.0297,0.000308,0.12300000000000001,0.812,100,212893,0,0,0,0,0,0,0,0,0,0,0,0,0
145,La La La ,Shakira,0.532,0.7829999999999999,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124,247427,0,0,0,1,0,0,0,0,0,0,0,0,0
146,Wake Me Up ,Avicii,0.545,0.78,-4.867,0,0.0436,0.0309,4.6399999999999996e-05,0.0828,0.45799999999999996,125,255093,0,0,0,0,0,0,0,0,1,0,0,0,0
147,Hey Brother,Avicii,0.569,0.785,-4.0569999999999995,0,0.0457,0.0505,1.12e-06,0.086,0.303,128,148387,0,0,1,0,0,0,0,0,0,0,0,0,0
